,Post,Predicted Sentiment NB,Predicted Sentiment SGD,Predicted Sentiment SGD_GS,Actual Sentiment
16,现货 润膏划算吗？第一，润膏一瓶250ml，但是它是浓缩的，就至少相当500ml；第二，润膏是洗护二合一的，相当于你同时拥有了一瓶护发素。你买一瓶润膏的钱，和你买一瓶潘婷或者海飞丝的洗发水加一瓶护发素哪个合算？关键是，润膏真正的无硅油不残害头发和头皮健康，经济实惠 ，快来下单吧[爱你][爱你],neu,neu,pos,neu
17,#亚马逊中国秒杀#【预告！开始于 上午 9:00 :   LYNX 凌仕男士醒体沐浴露唤醒400ml+清扬男士去屑洗发露活炭净爽160ml(限量特惠)   ! 秒杀页面地址: http://t.cn/zHoDvJ0 。商品链接：http://t.cn/RzjC9ej,neu,neu,neu,neu
18,#晒晒你的奇葩毕业照#一年一度毕业狂潮来袭，一边发疯般找工作，一边伤感分手情怀，飘柔微信此次活动汇集文艺奇葩、普通奇葩、2B奇葩过足了瘾。谁让飘柔，总是这么自信！！直接搜索关注飘柔微信：飘柔Rejoice,neu,neu,pos,neu
19,VS沙宣净化打底男士洗发露+护发素+劲强挺立发泥免费试用惊喜就在身边，期待！祝福你 地址：http://t.cn/RvOhKDG,neu,neu,neu,neu
20,#我的欧莱雅秀发非凡时刻# 这位懒美人总共用了6次欧莱雅奇焕润发精油，分别是洗漱化妆穿戴整齐，公司早例会，工作中接见重要客户，补妆，和朋友聚会吃饭，洗澡并吹干头发 @丁丁杜 @dwk_nj @丹尼616,pos,pos,pos,neu
21,洪城大厦百货服饰新年献礼 8倍积分送好礼 满218元送抽纸1提 满518元送欧莱雅200ml洗发水1瓶 满818元送美体内衣一套 满2688元送多喜爱冬被1床 百丽系列6折起并折上9折，享8倍积分相当于4.8折 拉夏3.8折享8倍积分，相当于3.6折,neu,neu,pos,neu
22,我用了六七年潘婷没换过//@JL一直那么懒:怪不得最近老掉发，同一种洗发水都用了两个多月了。。。//@歪歪我不歪: 是的呀。一般超市卖的都有这种东西。。//@dana_shan:= =|||,neu,neu,pos,neu
23,"我的头发“伤芯透”的问题是毛糙,不够顺滑,希望“14天体验潘婷不一样”能让我摆脱我头发的困扰.潘婷护发科技研究院发现，相比于健康秀发，受损秀发流失水分的速度更快、量更多。受损秀发流失水分的速度是健康秀发的1.8倍，流失水分的量也1.5倍于健康头发。",pos,pos,pos,neu
24,难怪有这么顺滑的头发，原来有施华蔻啊[给力],pos,pos,pos,pos
25,#没得比个护化妆#中粮集团我买网[华东分站]：【华东】清扬洗发露冰爽薄荷型（瓶装750ml）*1+海洋之谜洗浴套装*1+妮飘绿茶之香盒装面纸*1 促销价格￥49.90 http://t.cn/zQ0WQ3w,neu,neu,neu,neu
26,"#晒单有礼# @乐蜂网 我买了沙宣修护水养润发乳200ml（新老包装随机发货）,没话说的好 http://t.cn/zQYeOlX",pos,pos,neu,pos
27,欧莱雅的代言人可是李冰冰呢！发质真心靓！,neu,neu,pos,neu
28,施华蔻就是德国的牌子呀～嘤嘤嘤还以为又是那个白罐发膜！讨厌死那些软文了！ 酸菜我是翠花儿 软文是什么？,neu,neu,pos,neu
29,刚接到美妆优选客服的电话 说施华蔻的发膜没货了 给换成施华蔻洗发水套组 50ml×50,neu,neu,pos,neu
30,清扬洗发水，绝对很给力，我一直的都是大爱[可爱],pos,pos,pos,pos
31,沙宣旅行套装+必胜客+年奶商城+爱抢购...,neu,neu,pos,neu
32,给妈妈买了一套施华蔻的四件套寄回家，她坚持不要，我说早都买好了，她说：”那我给你交话费吧，这个月再给你多打点钱，你要吃好，喝好，我不用你花钱。”突然好难过，自己花的都是她给的，她却舍不得我买东西给她。,neu,neu,pos,neu
33,沙宣修护水养洗发水750ml*2件+沙宣修护水养发素750ml套装，含轻盈焕发配方和液态修护配方，实现发型顶部轻盈，发丝可塑，同时能够修补发丝表面受损，防止头发分叉，毛燥，各种发质均适用。京东商城目前大套装售价￥103包邮，包含有750ml洗发水2件和护发素1件，这样的搭配差不多可以同步用完，平均34元/瓶，近期好价，无需凑单，需要的同学可以拿下。 VS 沙宣 修护水养洗护套装 洗发水750ml*2+护发素750ml ￥103包邮，首发于得利网，购买链接。 您可能也感兴趣 新低：VS 沙宣 修护,neu,neu,pos,neu
34,#逆龄时空，秀发微整形#除暴安良是我们做市民的责任，行善积德是我本身的兴趣，所以扶老太太过马路我每个星期都做一次，遇到免费试用活动“施华蔻新品试用，逆龄时空，秀发微整形！”我也必须参与~ http://t.cn/RPjs4wF,neu,neu,neu,neu
35,#施华蔻正献礼 以正品之名#一定要HOLD住！一起来抢啊!@厨房做卫生偷懒,neu,neu,pos,neu
36,美女人超级好！第一次买就买了全家福[呲牙]反馈也给的好详细 飘柔和理发店买回来的洗发水用完都打结 只有用女侠依然柔顺！平常练舞扎头发 放下来头发会翘 用完女侠再也不翘～ 你还不来[微笑] 添加 haohuo4u,pos,pos,pos,neg
37,我试用了海飞丝去屑洗发露90ML（天天活动专供），我觉得：海飞丝去屑洗发露，不大不小的一瓶，刚好适合旅行使用，不错哦，赞一个月。。。 （分享自 @喜试网） http://t.cn/Rv2OMgL,pos,pos,pos,pos
38,#欧莱雅奇焕润发精油#多多关注！！！支持！！[礼物]  地址：http://t.cn/zROCjIS,pos,pos,pos,neu
39,【巴黎欧莱雅沙龙专属】丝泉滋养发膜护理组合 丝泉发膜+精华液 长发MM必备！欧莱雅正品货源！数量不多只有10套！250一套，市场价600rmb！秒杀全网最低价！而且还是正品！！对干枯 没有弹性 脆弱 失去水分的头发效果更好！发膜与精华10：1混合使用 均匀涂抹在洗净后的头发上 不要使用护发素 直接用！,neu,pos,pos,neu
40,飘柔就是好！@野战被蛇咬 @淳爷带你装逼带你飞 http://t.cn/zRbT6rZ,pos,pos,neu,pos
41,#欧莱雅奇焕润发精油#用一颗平常心来对待每一个活动，以一份真诚来打动小编的内心。或许我不是最幸运的那个粉丝，但我一定是最用心的哦！在此祝福小编工作顺利，我会一直支持你们的活动的~！  地址：http://t.cn/zROCjIS,neu,pos,pos,neu
42,该死的沙宣 坑我坑的不浅啊 还说什么发质轻盈发丝可塑 我洗了这么多次 还不是贴到跟个狗样 别逼我喷发胶[抓狂][抓狂],neu,neg,pos,neg
43,这个双十一我一定要多买一些施华蔻留着用啊,neu,neu,pos,neu
44,欧莱雅菁华(致臻）修护洗发水（250ml）： 本洗发露质感晶莹透明，能温和地清洗头发。含天然脂质成分和Omega 6，秀发头发的内部组织，增加头发密度及自然发量，看起来焕然一新，更加年轻亮丽，萃取香柏木、杏仁、桃子、柑橘等多重浓郁的植物天然香酚，在彻底洗净头发的同时，更能享受到大自然的舒适氛围,pos,pos,pos,neu
45,#大龄儿童，“型”动在沙宣#支持沙宣，支持期待好运@战马与刀锋,pos,pos,pos,pos
46,#分享我的秀发困扰 # 三年了，我的长发染烫后严重受损，先是干枯毛躁，渐渐失去光泽，继而断发、掉发，分叉还较严重而且每根发丝那叫一个细！每天都在烦恼中挣扎，一天天的为了这几根黄毛在饮食上，生活上，洗护上，那叫一个呵护有加！ 结果都是竹篮打水一场空！现在我的发质是干黄、稀疏，发质是多么糟！希望臻致修护系列能让我的头发不再干枯毛糙，让头发变得更加光泽，阻止发质的恶性发展。,pos,pos,pos,neu
47,#型格秀发造型攻略Get#才买的沙宣新品炫线抚躁洗发露+护发精华，当然发膜没买诶，@逗兜儿715 @奇杙刺客,neu,neu,neu,neu
48,#秒爆品#只限今天 火爆活动#1元秒杀#效果非常好 欧莱雅致臻修护发膜500ml焗油膏 菁华深层修复倒膜  http://t.cn/zQhUZba,neu,neu,neu,neu
49,我刚刚发现了#新浪试用中心#正在免费试用【施华蔻/Schwarzkopf 金致润养修护系列】，真的完全免费，还包快递哦！简直太棒了，提交申请宣言就有机会，你也赶快申请一份吧！   （分享自 @新浪时尚）http://t.cn/8FqHb09,neu,neu,neu,neu
50,#撒娇求免单##唯品会撒娇节#在茫茫几百个品牌中，一眼就看到我最稀饭的施华蔻Schwarzkopf日化线洗护专场，人家已经收藏好了就等开抢啦！唯品会拜托拜托啦，一定要给我免单哦~么么哒~ http://t.cn/RPKGX6z,neu,neu,neu,neu
51,LZ家乐福的潘婷也参加这个活动吗？,neu,neu,pos,neu
52,香港代购美赞臣奶粉、惠氏奶粉、雅培奶粉、美素奶粉，成人奶粉，宝宝用品，施巴，强生，多芬，贝亲，兰蔻、雅诗兰黛、香港欧莱雅护肤品、玉兰油、洗面奶，男士洗面奶，面霜，眼霜，防晒霜，BB霜，乳液，面膜，爽肤水，润肤露，牙膏，香港洗发水、香港沐浴露，沙宣，多芬，飘柔，海飞丝，花王，潘婷，进口食品等希望大家光临http://wu2008.taobao.com 美女们支持一下吧，帮忙收藏一下吧，谢谢啦！！！,neu,neu,pos,neu
53,一次谁在闺蜜家试用了一下欧莱雅奇焕润发精油，从此深深不可自拔了,pos,pos,pos,pos
54,回复@棒棒要勇敢:其实拉直是会破坏头发结构，使头发表面毛鳞层变得多孔性，容易造成营养流失。因为受各种化学物质伤害，发质本身的水平被打破，头发容易变得粗糙开叉毛糙，造成营养流失。所以拉直并不能从根本上解决头发毛躁问题。建议选用具有修复功能的洗护产品，定期做发膜，如施华蔻保丽修复系列，,neu,pos,pos,neu
55,这个欧莱雅润发精油真心的给力，真是太好，绝对要支持。//@时尚创意潮: #双十一#还是法国人聪明，要脱光先护发，欧莱雅奇焕润发精油早入早“脱光”,pos,pos,pos,pos
56,回复 深深深似海1994 :这个慢慢改善，沙宣的护发素可以一试,neu,neu,pos,neu
57,很好听的音乐   很感人的视频。 最后 说一句 潘婷 你赢了,neu,neu,neu,neu
58,@巴黎欧莱雅 #奇焕润发精油#我发梢处的头发干枯分叉，用了好多种也不管用@口无遮拦丶尛尛兎是幸运女神 @cxj189 @惠津子2011,pos,pos,neu,neg
59,#欧莱雅精油护发#瞧一瞧看一看，快来与淡定点手牵手，一起把好运全抢走！  地址：http://t.cn/8kBYjQQ,neu,neu,neu,neu
60,太好用了！！洗好头用欧莱雅的精油，第二天头发精神焕发了！,pos,pos,pos,pos
61,忒神奇了，姐妹们造型必备啊！！！欧莱雅奇焕润发精油，抹上头发完全不油，顺滑柔亮~好评推荐~//@美丽说蘑菇街淘宝精选推荐: 最近正在用#欧莱雅奇焕润发精油#，良心推荐哦！头发变得顺顺滑滑，光泽度增加再加上清心的香气，绝对是沙龙级的护发效果~~,pos,pos,pos,pos
62,邓肯要给海飞丝代言吗，好像他没什么头发唻^_^,neu,neu,pos,neu
63,#我的欧莱雅秀发非凡时刻# + 我最糟糕的发型发生在大学时候，那时头发烫完后变得很不好干枯分叉毛燥，后来一忍心把坏的了头发都剪掉，如果当初就有欧莱雅润发精油，头发是不是还能存活下去。,pos,pos,pos,neu
64,成都这种潮湿闷闷的夏天真让人难过，稍稍一热，皮肤就是粘糊粘糊的，如果头发还厚厚地贴在头皮脖子上，那感觉简直如同灾难来临般让人抓狂，果断换上适合这个季节的 @潘婷Pantene 植物精萃 净润养护系列，它创新轻盈因子和摩洛哥坚果精油黄金比例配方，能让头皮发根持久清爽，发稍却非常润泽。@瑞丽网,pos,pos,pos,pos
65,1.sleek眼影 9新用过不到10次 35出 2.chanelN.19分装5ML/40 10ML/70 3.chanel黄邂分装5ML/40 10ML/70 4.施华蔻精华，用过2次 20 5.肌研极润水，余量差不多8成，50 7.欧莱雅小黑瓶，余量8成 75 8.PJ南瓜粉1号色 分装10g/90 9.RMK唇膏 30 10.恋爱魔镜睫毛膏 50 11.shu散粉分装 5G/50 12.施华蔻羊脂绒4件套（400+400+150+150）全新140 13.卡尼尔清澈美白水漾精华凝露 全新30,neu,neu,neu,neu
66,泰国潘婷广告卡农版·（超感人）  http://t.cn/RvERcni,neu,neu,neu,neu
67,用飘柔[思考],pos,pos,pos,neu
68,我正在看【自从用了飘柔】(分享自 @百度图片) http://t.cn/zHjx4ZL 贞姐真该用飘柔了~！,neu,pos,neu,neu
69,爸爸居然也在用！欧莱雅护发土豪金//@史上热门榜: 感恩节将至，送#欧莱雅护发土豪金#给最爱的她，让她拥有柔顺秀发，享受明星级的护发待遇！,pos,pos,pos,neu
70,正品欧莱雅头皮舒缓洗发水500ml 头皮刺痛紧绷红斑洗发 护发精油销量火爆，好评如潮，亲们强烈推荐的单品哦。http://t.cn/z8aQkHH,neu,neu,neu,neu
71,#二丫点评#亲们，我正在@二丫网美妆分享社区 点评@Clear清扬/通用系列韧发防落去屑洗发露哦，想要分享给大家！效果很好，多用几次头皮屑就没有了，好像还有润发的效果，味道香香的，女儿都叫我香妈妈。介绍给朋友用，都说效果…http://t.cn/RvZgTwM 更多真实点评→http://t.cn/zWxbZl5,pos,pos,neu,neu
72,【潘婷植物精萃净润系列新品体验会|潘婷| 精油_凤凰时尚】导语：专业为女性打造健康闪耀秀发的知名护发品牌潘婷，携手&ldquo;五感心理学美容专家&rdquo;小乔老师、精油专家方俊平老师，邀约国内4... http://t.cn/8sxusQH,neu,neu,neu,neu
73,飘柔可插入广告 妹子好飘亮~,neu,neu,pos,neu
74,SK的神仙水 潘婷洗发水,neu,neu,pos,neu
75,周末打算去游泳的MM注意哦，池水中的氯气会令染后发色变得黯淡，游泳后也要尽快清洁秀发。使用巴黎欧莱雅沙龙专属盈亮修护系列，含有闪亮因子，能够提亮暗淡头发，使发色更均匀通透，充满剔透光泽，无惧池水损伤烦恼。,pos,pos,pos,neu
76,【亚马逊中国：PANTENE潘婷臻致修護纯净莹亮修护套装 83（￥113-30）】宝洁公司旗下品牌丰富，潘婷也是其旗下一支品牌，产品定位于烫染修复系列产品，针对化学损伤的发质，修护秀发积年损伤，令秀发重获健康。     今天这款套装包括：洗发露738ml、润发精华素683ml、时… http://t.cn/8sBX7WY,neu,neu,pos,neu
77,德国卫生巾，HIPP 水果条，水果茶，水果麦片，爱他美1段奶粉，贝娜婷爽身粉，施华蔻洗发水到货,neu,neu,pos,neu
78,欧莱雅精油护发努力不一定有收获，但不努力就一定没有收获啦.. 地址：http://t.cn/8kBYjQQ,neu,neu,neu,neu
79,#12.12施华蔻4折起#好活动，有奖转发祝此微博越办越好，希望大家多来观注 地址：http://t.cn/8kM1XQK,neu,neu,neu,neu
80,飘柔芦荟系列确实不错，我家就在用,pos,pos,pos,pos
81,我一直都很喜欢潘婷，不好么？求带好的洗发水,pos,pos,pos,pos
82,#得利网优惠推荐# 西北仓：沙宣 清盈顺柔洗发露 750ml ￥43（满200-100，可低至￥21.5）http://t.cn/RvBvlCm,neu,neu,pos,neu
83,中了潘婷丝质顺滑水漾凝乳,neu,neu,pos,neu
84,哇，这个欧莱雅护发土豪金终于和我们见面了啊！[给力],pos,pos,pos,neu
85,回复隐隐sir:我用海飞丝,neu,neu,pos,neu
86,#宝洁官方#海飞丝洗发水，去屑只选它~~~>>>http://t.cn/zQrzmGo[ok],pos,pos,neu,pos
87,我刚刚在#丝源会#中做了一个只属于自己的丝源之花，还获得了100积分，你想拥有属于自己的丝源之花么？快来加入丝源会吧。@海飞丝丝源复活 http://t.cn/8FV4508,neu,neu,neu,neu
88,大学洗发水只用飘柔了  我要你的味道天天缠着我[太开心]好幸福 http://t.cn/RPnMM2o,pos,pos,pos,pos
89,小编~~不知道ep会不会再附送一瓶洗发水哦~~家里一大瓶清扬用一大半了~~[偷笑][偷笑] 说真的洗发水洗完后真的是清爽无头屑——#向世界炫出自己，让未来无懈可击#妥妥的！[爱你] @aska的名单 @Aska锁儿 @宗纬爱蛋蛋009,pos,pos,neu,pos
90,扫二维码加微信，潘婷套装及300份代金券等你拿！令人难以抵挡的诱惑转了~!~! 地址：http://t.cn/8kPxAy7,neu,neu,neu,neu
91,我居然看哭了，，，小胖墩变艺术体操女神 看美女如何化茧成蝶................................一听到卡农，我就知道又系潘婷广告，保洁公司最新广告？？？？不过真系有少少感动，可能系首音乐另人感动吧 http://t.cn/8s8TWim,neu,neu,neu,neu
92,中国女星范冰冰以巴黎欧莱雅中国区唯一代言人的身份，于法国当地时间5月16日晚踏上了第65届戛纳电影节的开幕红毯。继“龙袍”、“鹤裙”之后，范爷第三次穿上了富有中国特色的“瓷裙”，配以古典的发型和妆容，再一次走出了中国女明星独有的味道。范冰冰回应花瓶质疑：瓶不重要 瓶中物最重要！,neu,neu,pos,neu
93,欧莱雅护发土豪金原来这么厉害。,pos,pos,pos,pos
94,发表了博文《解决头发干枯问题的妙方》冷空气一来，天气就干燥，搞得不仅皮肤都干干的，连头发也出现干枯开叉的状况。无奈之下，我只好上网查查有没有什么妙方来解决头发干枯毛躁的问题。没想到我竟然搜到了潘婷官网http://t.cn/RzokKjN,neu,pos,pos,neu
95,海飞丝是宝洁旗下的产品，功能就是去屑。 像宝洁旗下的其他产品，飘柔代表柔顺，潘婷代表营养，沙宣代表专业美发等。 海飞丝其实都差不多，每款的配方差别不是很大。,neu,pos,pos,neu
96,【舒淇携手知名造型师吴依霖拍摄海飞丝丝源复活广告片】日前，舒淇为即将上市的全新海飞丝丝源复活头皮养护秀发丰盈露拍摄新一辑广告片。这支头皮“生命之水”是海飞丝丝源复活推出的第一支免洗单品，品牌力邀台湾知... http://t.cn/8F0B9jy,neu,neu,neu,neu
97,洗发水！箭牌各系列，施华蔻，阿瓦隆丰盈健发 http://t.cn/R7WxTig,neu,neu,neu,neu
98,#欧莱雅一滴改变等你见证# + @v寻琴 @笔月风水师 @若道占星 + 我希望欧莱雅奇焕润发精油可以帮我解决____干枯、毛躁和分叉_______三大秀发烦恼,pos,pos,pos,neu
99,巴黎欧莱雅奇焕润发精油大赠送！祝越来越好。。.. 地址：http://t.cn/zRVth3L,neu,pos,neu,neu
100,我为飘柔代言[亲亲][坏笑][擦汗][憨笑][发呆][闭嘴] http://t.cn/8FPRhUF,neu,neu,pos,neu
101,回复 天秤座lsq :我去 我最近快掉成光头了，也用的是沙宣,neu,neu,pos,neg
102,"烫发后真是伤头发,用过欧莱雅奇焕润发精油后发觉发质好多了,既柔顺又有光泽,惊奇的发现头发好像真得被修复好了//@全球时尚丽人: 《吸血鬼日记》Damon教你：弟媳妇儿变媳妇儿只需一步！#欧莱雅奇焕润发精油#，你值得拥有！",pos,pos,pos,pos
103,"【L’OREAL/欧莱雅 琉彩之韵精华露 免洗小金瓶 护发精油 卷直发 精华素】,    价格 ￥105 1号店，品质保证，网上优选  @1号店 http://t.cn/8sVadkm",neu,neu,neu,neu
104,[心][鼓掌]现货 德国施华蔻schauma(黑人头)男士控油去油去屑洗发水 [心]新包装[得意地笑]http://t.cn/RvDm6K6,neu,neu,pos,neu
105,我的护发宣言：柔顺每一天，尽在欧莱雅！@edinlas @浑峦建颠 @honnjin,pos,pos,pos,pos
106,头发特别干枯毛躁，容易分叉~[许愿]@巴黎欧莱雅,pos,pos,neu,neu
107,海飞丝的洗发产品不适合我，用完以后头屑反而增多呢 @就爱点评网 @海飞丝实力达人秀 @宝洁中国 http://t.cn/RhkoWqp,pos,pos,neu,neg
108,好漂亮好柔顺，你们是用了飘柔么？,pos,pos,pos,neu
109,#手机优酷微分享#先分享，以后看！ Angelababy 杨颖Live 唱跳她沙宣那首广告歌曲〈Beauty Survivor〉  http://t.cn/zOjTAyz,neu,neu,neu,neu
110,宝贝们#圣诞节#快乐！今天#VBL#下单一套送屈臣氏骨胶原护手霜，屈臣氏的明星产品。两套送欧莱雅护发精油，是自己一直在用的一款，补水、修复、抚平毛躁，效果杠杠的。以前买过的再买一套也送精油省的你们心里不平衡[爱你]只限今天，过了今天不准撒娇任性…… http://t.cn/z8AVFRo,pos,pos,neu,neu
111,我在@聚美优品 Free派成功提交免费试用申请喔~原价52元的施华蔻斐丝丽樱花护色洗发露，免费试用，仅限30份，专为染后秀发而生！只在聚美优品Free派，详情点击…… http://t.cn/RvhicM1,neu,neu,pos,neu
112,㊣预售↗施华蔻 Q10青春凝时系列-新青春凝时润发霜1000ML    促销价：420.00元。     http://t.cn/8FDszGq,neu,neu,neu,neu
113,#我最喜欢的省心价商品#最喜欢08号潘婷洗发露,pos,pos,pos,pos
114,哈哈全宿舍都在用这款洗发水，刚刚特地用了下，真的让我瞬间爱上它了，神马多芬，潘婷都是浮云了。超级柔顺，不好用欢迎退款??????????,pos,pos,pos,neg
115,#1号店0元试用# http://t.cn/8Fd6fV0 我在1号店试用中心申请了海飞丝 丝源复活 男士爽健强根洗发露 53...商品的试用。伙伴们，你们帮我转发越多，我获得该商品的成功率越高。@手机用户253569260....,neu,neu,neu,neu
116,#欧莱雅慧眼识星品# 左边是巴黎欧莱雅奇焕润发精油；右边是巴黎欧莱雅多重防护隔离露。@柠檬小R @琥珀花蕾 @kyogo,neu,pos,pos,neu
117,试用心得分享： 我试用了【*飘柔滋润去屑洗发露 80ml 1015 试友归来】，我觉得：【(null)】你们也来看看呗~ APP下载地址：http://t.cn/8smyOtD,pos,pos,pos,neu
118,"今天我在#斐丝丽花园咖啡店#，遇见了传说中的温柔清雅兰花Blythe,她为我精心调配了一款斐丝丽兰花顺柔洗护产品，让我可以拥有和她一样的丝滑柔顺发质，和迷人的兰花清香，你也来试试吧http://t.cn/8sQNvli @施华蔻官方微博",pos,pos,pos,pos
119,#探索潘婷护发实验室# 刚刚玩了@潘婷Pantene 的小测试~\\(≧▽≦)/~啦啦啦！ 我的“秀发健康指数”是 90，相当完美的发质哦！我会继续保持健康、正确的生活和洗护习惯，让每一根秀发都绽放健康光彩！你的头发能得多少分？快来跟我PK吧！ http://t.cn/zRTZ6FU,neu,pos,neu,neu
120,第一次收到体验套装，而且是非常适合我的烫染受损头发的套装，感谢@潘婷Pantene 好嗨森~~  收到一周了，用了几次，感觉不错，头发比以前容易梳理了，去理发店洗头，小妹也不再教育我“短卷发也...文字版>> http://t.cn/8sTRS7e （新浪长微博>> http://t.cn/zOXAaic）,neu,pos,neu,neu
121,原来是这个样子的，比较的喜欢清扬洗发水，用着挺好[花心],pos,pos,pos,pos
122,#小时代观后感#30元=柯震东+凤小岳+郭采洁+hold住姐+若干次飘柔广告+片尾彩蛋[挖鼻屎]其他的我什么都不记得了,neu,neu,pos,neu
123,#飘柔.柔美生活#夏日病就是在初夏时节，由于就业压力、生活压力集中而产生的厌倦易疲情绪问题。具体表现为整日慵懒倦怠，仿佛对任何事情都提不起兴趣，更会抵触上学上班、抗拒接触社会。如果你也发现有以上轻微的症状，可以通过户外活动和与友人谈心来纾解~明媚的阳光别被压力打垮哦！小飘为大家加油！,neu,neu,pos,neu
124,欧莱雅卡诗系列洗发水！这款是：【染烫修护洗发乳霜】适用发质：中干性发质！??产品特点：进口原料！[玫瑰]专??配方，温和洁净头发！????丝质精华给头发受损部位深度修复！??由内至外，深层滋养秀发，修复发质！??令干枯受损发丝顺滑亮泽，呈现丝缎般柔滑触感！??????,pos,pos,pos,neu
125,自己“伤芯透”的秀发困扰是：干枯、暗哑、发梢分叉。我对“14天体验潘婷不一样”的潘婷挑战看法是：我相信体验潘婷14天以后，秀发能内在强韧、外在柔亮！,pos,pos,pos,neu
126,施华蔻 斐丝丽兰花顺柔680ml洗450ml润套装@快乐的feiyafei @臭丫头的老刘 @过客敢爱敢恨,neu,neu,neu,neu
127,"【亚马逊中国 Z秒杀：CLEAR清扬去屑洗发套装(多效水润洗发露750ml+深度滋养洗发露750ml)】, 秒杀价格： ￥75.80 (5.00折), 现已订购 9% http://t.cn/8kULnBA",neu,neu,neu,neu
128,欧莱雅的洗发水和小黑裙的沐浴露 哈哈,neu,neu,pos,neu
129,洗发水都是正品保证是大型超市团购来的 不要和某宝上的小店的价格相比舒蕾草本优萃系列400ml 水漾致润和致臻修复各2瓶 一起去140米包邮 →135米包邮登录/注册后可看大图登录/注册后可看大图登录/注册后可看大图清扬男士去屑洗发露40ML 2瓶一起去70米包邮 →65米包邮登录/注册后可看大图登录/注册后可看大图海飞丝去屑洗发露 海洋活力型 2瓶一起去70米包邮 →65米包邮登录/注册后可看大图登录/注册后可看大图海飞丝,neu,neu,pos,neu
130,【视频：汤唯潘婷广告2013中国版30秒】 （分享自 @优酷网）附上广告 http://t.cn/zQfP1Kb,neu,neu,neu,neu
131,跟爸妈一起看#别逼我结婚#，没看过，一上来那人说：我是清扬啊。然后就搭了句，我是海飞丝啊。一发不可收，我是飘柔啊，我是潘婷啊。。。。沉浸在自己奇怪的笑点中??????,neu,neu,pos,neu
132,#欧莱雅奇焕润发精油#做你的感恩节护发使者@我爱喝酸奶YE,neu,pos,pos,neu
133,据说施华蔻家的染发膏和洗护、润发都超好用，最近老用卷发棒卷发是该好好护理下了,neu,neu,pos,neu
134,200ml海飞丝去屑洗发露(莹采乌黑)http://t.cn/RP8ICq7（分享自 @微店 http://t.cn/8kD2fJZ）,neu,neu,neu,neu
135,这是在给施华蔻代言的节奏吗？感觉即将出现好多马云同款 //@中国经营报:这话说的[哈哈]//@夜风刃: 我去，亲自来的？,neu,neu,pos,neu
136,#非凡心愿从“头”期许#用巴黎欧莱雅，是你最佳的选择，愿我的秀发，不再暗黄了,pos,pos,pos,pos
137,#没得比个护化妆#京东[华东地区、西南地区、华中地区]：飘柔 家庭兰花爽去屑400ml+兰花润洗200ml 活动价格￥14.90 http://t.cn/zT2RjVx,neu,neu,pos,neu
