Post#,Post,Relevance,Sentiment,AD
398504,#潘婷，感谢有你#我妈妈的手特巧，年轻的时候就是老技工了。在一些服装厂做缝纫，小的时候，自己的花花红红的衣服都是妈妈亲手做的，不舍得去外面买。长大了也是一样，少不了操心，知道妈妈的腰不好。特意给妈妈织的毛毯。感恩节送到妈妈手里，天气冷了，我是妈妈的小棉袄[心]@潘婷Pantene,N,,
386304,最近走火入魔了。。看到欧莱雅洗发水的广告，范冰冰说:选洗发水的理由，一个不够，我给你五个！我的听觉神经自动翻译成:喜欢克里斯的理由，一个不够我给你五个！！！！  再这么下去人森都要被耽误了！[抓狂][抓狂] 见到本人后果断退粉！！谁也别拦我[怒][怒],Y,L’Oreal=NEU,AD
408359,爱美的女神们，潘婷算什么，欧莱雅算什么，施华蔻算什么，只有玖寇护发神器你值得拥有，(ps：有质疑效果的，第一次的可以给发试用装哟！私人给的。[呲牙][呲牙][呲牙]) http://t.cn/RPQTr9r,Y,"Pantene=NEG
 L’Oreal=NEG
 Schwarzkopf=NEG",AD
199363,真是不当家不知柴米油盐贵 刚刚去超市准备买一瓶海飞丝小瓶装的一看标价二十四连忙缩手换了一瓶九块九的 [害羞]是不是很怂！！！,Y,Head & shoulders=NEU,
68791,赶走头屑，做回自己。——新清凉海飞丝（x,Y,Head & shoulders=POS,
406209,心情又黑不好了 fuck！ 敢不敢免费🆓@小情绪的潘潘婷-  http://t.cn/z8ASv2r,N,,
12460,睡了一天。然后爬起来看了一本书。眼睛完全哭肿嘛。。。清扬那款男士的洗发水真的很舒服。突然想去看东京爱情故事。被拉回现实真讨厌啊。好多人心里，都有一个美好的不像话的小姑娘，只是，很少有人，能保护好她。太喜欢悲剧了，简直是一种病。红豆。好美。晚安,Y,Clear=POS,
49969,没劲，连续两年跟12306斗争都取胜，唯独跟易讯秒不起，真是没劲。就当是个拉风噱头得了，都给过我什么啊，挂着鸟粪的吹耳球，挤压的拉稀的清扬洗发水。咱就这么跟京东赛跑的么？,Y,Clear=NEG,
414783,我在#漂漂网#回答了【烫发后大家都用什么定型产品呢？最好说说下自身发质的情况。】：最近喜欢用沙宣，因为突然发现潘婷似乎不适合我 http://t.cn/Rv90g5w,Y,"Vidal Sassoon=POS
 Pantene=NEG",
412470,不能忍[生病]，复古的美cry，但是胶片机实在是太麻烦，尼康这款单反又太尼玛贵，还是存钱买潘婷吧。。。。,N,,
47253,小粉:【上】新品红茶是什么定位？其实搭上牙膏也好不到哪里。。。搭上洗发水有点无厘头【下】我司会建议有优惠券的方式精准发给有关顾客，避免直接让利。但话说清扬在￥70以上不能散货，只是作为参考价显出￥42的优势。总体清扬今年主打750ml可见品牌忠诚度已经有一定，这个价钱其实也是和海飞丝差不多,Y,"Clear=NEU
 Head & shoulders=NEU",AD
398827,这世界没有你想象的那么美好。 做好最坏结果的打算就好。 随遇而安，知足常乐，不同的路有不同的风景。@7号同学潘婷  @请让我吻一下你的额头  @Z-X-瑶 @怀念夏天De味道  @流氓兔的辛普森  @人可susmile http://t.cn/Rzt0C2x,N,,
408561,潘婷120的神仙水感觉也就一般般，有酒精味，价格很鸡肋～,N,,
256193,别再什么欧莱雅了，还是南娜实在😂女神来块洗发皂吧😄#南娜手工皂#,Y,L’Oreal=NEU,AD
9507,这场比赛葡萄牙真的是踢的太憋屈了。C罗打成这样除了有猪队友之外绝壁也是因为比赛之前没用清扬，导致有头皮屑，进而自信心不足影响发挥。,N,,SAR
111819,还在以为冰冰用的是欧莱雅洗发水的妹子们，不要那么天真好么？真以为蔡依林用海飞丝？罗志祥用飘柔？小S用清扬？成龙用霸王？[不要][不要][不要]范爷，让艾芙洛来拯救你吧[亲亲][亲亲][亲亲],Y,"L’Oreal=NEU
 Head & shoulders=NEU
 Rejoice=NEU
 Clear=NEU",AD
393104,[不活了]聚美520欧莱雅满减了，太成全我了，正好洗发水没有了，还不想带着孩子去超市,Y,L’Oreal=NEG,AD
243770,在家用了个海飞丝把头发完全洗惨掉！估计几个礼拜都救不回来！！！,Y,Head & shoulders=NEG,
90396,等红绿灯走神切菜走神洗澡走神连上课都走神最近…？今天在外奔波7个小时，去洗了个头👌又整天都会闻到头发香波的味道了…上星期开始的海飞丝已经时不时飘过[飞机]虽然这学期就快结束了，但是不兴奋[打哈气][浮云],Y,Head & shoulders=NEU,
259160,不知道是不是因为欧莱雅某款蓝色洗发水、掉头发好严重！！！开始急救三千烦恼丝…我去之前掉头发也太严重了把、啤酒酵母+Z+法国知名品牌洗发水…急救！急救！,Y,L’Oreal=Ambiguous,
220251,海飞丝。从头定义实力男人。本场男人。tim duncan。。。我说。他头发不多的说。。。,Y,Head & shoulders=NEU,
221683,@掺水的海飞丝 见完你老爹和聪出来整点，不喝多，唠唠嗑谈谈未来和以后[呵呵] 我在:http://t.cn/zHQbwFE,N,,
252959,朵澜PK品牌欧莱雅，多芬洗发水！朵澜真正无硅油，无S，第一次使用有点涩，它是在清洗你发质上得硅油，长期使用养发防脱发[愉快]可以吃得洗发水[得意],Y,L’Oreal=NEG,AD
253854,（双十一）巴黎欧莱雅 五大受损一个对策 想到之前范爷po乱糟糟头发问咋办 人家吐槽你天天五大受损一个对策 你问我们咋办。送的喷雾颜色好好看 一摇BLINGBLING的,Y,L’Oreal=Ambiguous,
86364,妈的，在超市买东西再也不要推销的东西，老子买个洗头发的，忽忽悠悠的被买了护发素，50块，晚上洗头难道要用护发素洗了？买个海飞丝蛮好的，现在心都凉了，，，家乐福狗日的～～ http://t.cn/8kRRyhP,Y,Head & shoulders=NEU,
380879,找我要欧莱雅洗发水的你们来这里看一下，我把我店子上的品种全给你们看。🙆🙆🙆绝对正品！支持验货！我不会拿假货扇自己脸的！（PS：这只是洗发水，还有修复的倒膜套装，精油！如果需要我再发！）还有好的洗发水很多！基本我都有！如果需要我都可以发！而且都是发价！需要的加我微信：184234611,Y,L’Oreal=NEU,AD
48071,事实证明，不要轻易和2B一起去游泳，指不定他就在你洗澡的中途拿出一袋清扬一袋飘柔对你说:来来来，幸好我刚刚去买了，这里洗发水沐浴露都有。。。[汗][汗],Y,"Clear=NEU
 Rejoice=NEU",SAR
394808,鼎盛时期，[哈哈]家里的洗发水有风影、飘柔、清扬、海飞丝、欧莱雅，洗起来真的是亚历山大，前两天终于把风影洗完了[鼓掌]。,Y,"Rejoice=NEU
 Clear=NEU
 Head & shoulders=NEU
 L’Oreal=NEU",
123344,正品海飞丝去屑洗发露，怡神冰凉型到货啦，每一瓶都有真货三重验证，大家可以把在超市里面买的洗发水和我家卖的对比，现在市面上很多都是高防产品，正品海飞丝每一瓶都有真货三重验证！欢迎大家来咨询，微信975754686！,Y,Head & shoulders=NEU,AD
12612,清扬和哈啤你们在新浪NBA 比分栏前所打的广告 让我们很失望气愤[怒] 我是你们产品的消费者 特别是清扬 我是你们的忠实消费者 但 你们这样的广告让我对这产生厌恶@清扬 @哈尔滨啤酒,Y,Clear=NEG,AD
72941,我只用优钻～飘柔海飞丝沙宣什么的都被曝光了，估计只有大爷大妈才会用吧[偷笑]……,Y,"Rejoice=NEG
 Head & shoulders=NEG
 Vidal Sassoon=NEG",
56019,经过四个小时的沉淀，把海飞丝和一禾三生再对比一下[心] 海飞丝的瓶子底部，有厚厚的一层沉淀[吐] 一禾三生呼吸洗发乳的底部仍旧是透亮的，没有一点沉淀[耶] http://t.cn/RZ77Wzr,Y,Head & shoulders=NEG,AD
1976,【绝无吐槽用意】第一次用@沙宣VidalSassoon 产品，无论是包装还是色质都高端大气上档次！熟不然，用了过后导致头皮屑满头都是[衰]还是用清扬比较踏实呀😂@Clear清扬,Y,"Vidal Sassoon=NEG
 Clear=POS",
397916,第一个反馈 很是激动 朋友用完后太柔顺了，她说比他刚买的潘婷护发素好太多了[嘻嘻],Y,Pantene=NEG,
113340,发现海飞丝比潘婷好用，而且超便宜，小瓶2.5rmb,Y,"Head & shoulders=POS
 Pantene=NEG",
59726,用了一圈儿资生堂的洗发水现在换用海飞丝😄上次用应该是10（？）年前了…好像还不错的样子…看来也不是大众牌子不好嘛～,Y,Head & shoulders=POS,
70691,用完海飞丝，再一次想去死啊[泪][泪][泪][抓狂][抓狂][抓狂],Y,Head & shoulders=NEG,
101763,头发因烫过，拉过，染过受损的，分叉的粗糙的，爱出油，一般倒膜解决不了问题的，，赶快麻溜溜的用mascara护发套装吧！效果好的没话说！你还在用潘婷，海飞丝，飘柔，沙宣神马的么？？受伤发质一直没被呵护好？那就赶快用masacara吧！让你拥有洗发水广告女主的秀发！. 有需要的加扣扣1415278690[给力],Y,"Pantene=NEU
 Head & shoulders=NEU
 Rejoice=NEU
 Vidal Sassoon=NEU",AD
415198,六级时刻准备着裸考[泪][泪][泪]@卜扇受沙 @不要长胖的77 @diedream-shh @Gemini_Lee @小帅哥潘婷  http://t.cn/RvajyEr,N,,
255810,近來對頭髮的護理確上心不少，入手這兩款髮油用了一段時間後明顯發現發梢的分叉少了好多，頭髮柔軟好梳。但是卡詩略失望，做日常護理還可以，效果不持久，且包裝的材質也不及同場的另一個品牌歐萊雅。相比之下，摩洛哥髮油味道好聞，重要的是真的有效。,Y,L’Oreal=NEU,
404389,那么深深爱你的我、潘婷、你是我永远都戒不了的心痛！这一刻我是多么想你、无法忘却你！ http://t.cn/RhmEmon,N,,
413053,到处有掺水的东西～很多人在网上买的海飞丝/潘婷就是正品但掺水的特惠装，可能正价也掺水～有过一次嫌疑就值得全部拉黑～以前买过强生某款沐浴露也是掺水严重～有很多人送老爸所谓的农家自磨麻油，掺水更恐怖，估计99％水＋1％麻油，正宗麻油倾倒速度很慢的，但那些所谓的自磨麻油倾倒速度跟水一样快～,Y,"Head & shoulders=NEU
 Pantene=NEU",AD
62309,还以为柔顺亮的秀发只有广告里才看得到？错！用了女侠洗护 你也可以拥有！推荐女侠洗护👍 我从一代用到二代再到三代 产品不断升级 品质不断提高  再没去用什么海飞丝沙宣施华寇 只认准女侠！美妞们，头发和皮肤一样需要呵护与滋润  再美的妆容，顶着一头稻草也是负分差评！加微信：MINER1217490339,Y,"Head & shoulders=NEG
 Vidal Sassoon=NEG
 Schwarzkopf=NEG",AD
231522,强烈寻求去屑洗发水，孕妇用，未怀孕时也洗不掉头皮屑@海飞丝实力派 @霸王洗发水 @雨洁洗发水 @康王舞动中国,Y,Head & shoulders=NEU,
214295,#支持喜爱的球队 赢取海飞丝中国赛门票#好像现场看比赛，真心叼爆了！,N,,
256427,今天刚说完叫他不要我以后绝不去浦发存钱就收到了笔试通知。那么，我以后再不买欧莱雅集团的化妆品啦再不用汉高的洗发水了再不………如果你们直接刷我的话……[酷][doge][doge][doge]昨天收到宝洁的拒信，决定再不用宝洁的产品。觉得这样下去可能无法正常生活……,Y,L’Oreal=NEG,
188944,海飞丝男士洗完头丝丝顺滑，我去，明儿不会长胡子吧～[汗][睡觉],Y,Head & shoulders=POS,
315564,现在一闻到飘柔和巴黎欧莱雅的洗发水就想吐了[生病][生病],Y,"Rejoice=NEG
 L’Oreal=NEG",
1054,[微曝光] @萍-pingping 说：“姐姐六月在咸阳民生家乐超市买的舒克亮齿白牙膏，标价13.9；清扬男士洗发水标价41.9，安尔乐护垫标价5.7；不知道是电脑的加减法有什么故障，总额却是64.5。请求数学高手帮我重新算下，以后在超市买东西啊，得多留一个心眼！”(所涉品牌仅供展示，非商业推荐和消费暗示),Y,Clear=NEU,
273959,我确定#屈臣氏#换购的25元欧莱雅洗发水是假的，尼玛洗了两次，每次都冲好久，都冲不干净……泥煤啊！！！,Y,L’Oreal=NEU,
401494,谁去萨瓦底卡的话求帮带啊[悲伤][悲伤]made in Japan的潘婷洗发水和国内差距好大的说。。洗完感觉完全不同啊[拜拜][拜拜][拜拜][拜拜],Y,Pantene=Ambiguous,
113927,这玩意杂又粗来了   油头女神?  妹子我提醒下  现在是夏天 再不洗头容易招东西  以后叫蛆混女神可好  姐姐真的特想给你寄一箱子海飞丝  真的。[爱你]哦  对了  看看你以前的事迹可好⊙﹏⊙@-ChaeJeomDong @灿灿绵绵白白,Y,Head & shoulders=POS,
260438,每次从银座门口过，就会有杀马特男或乡村非主流男信步上前说，姐，我看你气质不错，我们现在欧莱雅发型设计专门从东北请来了Kevin老师，就耽误你一分钟时间…我粗暴打断，你特么给我说清楚，我到底哪儿造型不佳了，这星期都拦了我三回了！眼神不好啊你换个人行不？看我好说话怎么地…[怒],N,,
399863,看看你们平常用的洗发水真面目，第一瓶是韩国吕字洗发水，黄色的沉淀物，第二个杯里是海飞丝，很多白色沉淀物，第三瓶是潘婷，很多悬浮白色颗粒，第四杯是我们店里无硅油洗发水，很清爽无沉淀物和悬浮物，最后一张是我们家oba洗发水洗发水融入水中，没有悬浮物和沉淀物，谨慎选择 http://t.cn/8kR3BeY,Y,"Head & shoulders=NEG
 Pantene=NEG",AD
244311,"#品牌观察#云南白药牙膏成功后，便推出了""大健康战略""，养元青即是战略指导下的重要产品之一。然而，发展的并不怎么样。原因:一、名字不能给人好的联想；二、包装莫名其妙；三难以撬动去屑就是海飞丝、柔顺用飘柔等直接认知；四、洗发水属于低介入度产品，给人带来的痛苦也不像牙健康那么被人们重视。",Y,"Head & shoulders=POS
 Rejoice=POS",
409264,力士？多芬？潘婷？欧莱雅？电视上那么多漂亮姐姐闪着秀发迷死人了😞 虽然头发长度有所增加可是我满头的粗糙还是显而易见的😞 剪短是唯一的出路了吗😞 可还想烫卷卷来的吖[不想上班][互相膜拜],Y,"Pantene=NEU
 L’Oreal=NEU",
175738,208上那个把大红色秋衣穿在劣质廉价的衬衫里皮鞋蒙层灰的指甲半寸长的有头屑的眼镜男，你一定是个刚毕业无家底无背景成绩还不好一事无成为工作发愁的外来人员。打赌，赌一包海飞丝。 我在这里:http://t.cn/8kRRkxI,?,,
255232,😱笑而不语😈她们不是有欧莱雅和SK2吗⁉️。怎么还为自己的头发烦恼❓怎么还需要自创面膜品牌❓我虽然没有名气😘，但是我做的是凭良心。自用产品，诚实推荐👍👍👍,Y,L’Oreal=NEG,AD
379634,贼好用的发油一枚，不管你的洗发水是啥味道，都能变成清淡的玫瑰芬芳，价格比欧莱雅小金瓶亲民不说，使用感几乎没差别。,Y,L’Oreal=Ambiguous,AD
57438,我只是希望每一天起床枕头上都有你头发的海飞丝的味道。手一伸就能碰到你特意为我续的扎手的胡子，一转身就能亲吻你满嘴牙膏味的大嘴巴[玫瑰]@香暁蕉 http://t.cn/RzmKA5F,Y,Head & shoulders=NEU,
46199,我在#漂漂网#回答了【经常掉头发用什么牌子洗发水比较好】：清扬防脱系列 http://t.cn/zQS6N5j,Y,Clear=POS,
414284,洗头的时候顺手把洗发露摸起了，结果都洗完了才看到是潘婷。明早上是不是有一头乌黑靓发………… http://t.cn/8FxT5rR,Y,Pantene=NEU,
392820,个几头发染傻了，以前一直用施华寇，色系都是偏深的，这次用了欧莱雅，没想到颜色那么浅，腊黄蜡黄的，这还是摩卡色吗！ 我在:http://t.cn/zHU5GPO,N,,
59054,你们刷牙用什么牙膏，我用海飞丝😂,Y,Head & shoulders=Ambiguous,SAR
389976,#oekotest#2012年12月号！先看看洗发水！国内大热的seba评分不太好哦！先说不合格的！红榜是不合格产品，问题出在产品成分不合格！欧莱雅的elvital去屑蓝瓶，carnier国内翻译成什么？同样是去屑产品有问题，还有海飞丝潘婷和等等！都是去屑产品有问题！,Y,"Head & shoulders=NEG
 Pantene=NEG",
90993,接着说刚才的：这种例子，太多太多了！你们随便从网上找个广告，一下子就能看见一个假的！推荐大家买实力派的东西，广大人民认可的！比如海飞丝，（我顺便给他做个广告）这个确实是实力派，不仅能去屑，而且效率高！,Y,Head & shoulders=POS,
246185,【歐萊雅72h透明質酸水潤洗髮露】[doge]無硅，可以比其他洗髮露多堅持一天，髮根很蓬鬆，但是並沒有明顯的干，反正我的頭髮冬天一定是不停的起電。京東滿200減100買了圖二四樣，一百塊。回購。,Y,L’Oreal=NEU,AD
406847,头发剪这么短，自己都快有点不好意思用“潘婷”洗头，用“旱梳”梳头发了[嘻嘻]@__PanPan_,Y,Pantene=Ambiguous,
62203,🌺虽然我家洗护如此高大上、但是却是海飞丝一样的亲民价格！🙀就好比你花了个捷达车的价格、却开了宾利一样的豪车一样！🙊🙊这种便宜你都不捡？我都捡了几千套啦、哈哈😋😇,Y,Head & shoulders=Ambiguous,
385884,欧莱雅新出的染发剂味道实在是太大了，给老妈染头发的时候不得不戴上了口罩，我不是买到假货了吧。。。,N,,
399113,也许哪天心死掉了，就不会痛了[悲伤]@-小柠檬-潘婷,N,,
15591,学姐问我从这张图片你看出了什么？我支支吾吾了半天说…………如果……如果……如果我没猜错的话，这只大狮子用的是清扬吧！秀发好人柔顺，发丝好亮…………学姐大骂我这个神经病。同时我也顺利躲过被告白的围剿! 普天同庆……………………,N,,SAR
155651,推荐大家用海飞丝柠檬香型洗发水……让你的双眼体会到看到cass真身般的感受……尼玛现在我的眼睛还凉飕飕火辣辣你们说我是不是能力要觉醒勒……扭腰客是不是需要我的拯救了……叫我海飞丝侠[拜拜][拜拜][拜拜],Y,Head & shoulders=POS,
393840,放弃超市石化类洗护产品好几年了，再到潇洒，又从威娜姿朋系列倍欧系列到SP顶级系列，欧莱雅护发素发膜，卡诗头皮舒缓洗发水精华素等等中端专业发廊洗护搞到各类植物有机高端PHILIP B，Phyto发朵，甚至用过很多中药洗发粉，DIY的氨基酸洗发精，现在用sebastian light,Y,L’Oreal=NEU,
71073,以后再也不买植物的洗发露了！洗到后面挤出来的就像.浆糊一样！最郁闷的是冲洗不干净！冲洗了那么多次，那么久居然感觉到还是有点粘手！一气之下，将其丢入拉圾桶！幸好前几天买了家庭装“海飞丝“！[晕] http://t.cn/RPkRABy,Y,Head & shoulders=NEU,
115040,9点多：我的微博又崩溃了？ 分享的内容去哪了？   12：00用海飞丝洗头洗了两遍还是感觉没洗干净，要哭了。   12：55等了半天我的小智齿都没有疼，在学校早早就疼了。,Y,Head & shoulders=NEG,
261764,研究了一天的洗发水，从正在用的雅芳，到很多人推荐的阿瓦隆，欧莱雅，箭牌，资生堂，露华浓还有什么无硅洗发水和白富美专用的卡诗，眼睛都花啦[书呆子][书呆子][书呆子]   对比了一下价格屌丝如我最后决定用蜂花,Y,L’Oreal=NEU,
414180,潘婷也太香了，不次于沙宣。,Y,"Pantene=NEU
 Vidal Sassoon=NEU",
58761,洗发水到了，家里堆起8✖️750ml海飞丝。本打算是两个人两家人用，，现在一个人了，是叫我以后洗脸漱口洗脚都用这个的节奏吗？失恋的后遗症还会很多，一样一样记录吧[悲伤][悲伤][悲伤][悲伤]@思想聚焦 @ayawawa @蔡康永 @恋爱与婚姻管理 @我的前任是个极品 @苍井空 @孟非 @人气女王说话术 @严锋,Y,Head & shoulders=NEU,
262155,我的头发太干了啊，扎死人了！用欧莱雅、多芬、施华蔻的发膜都没有特别大的效果，求达人推荐好产品。,Y,"L’Oreal=NEU
 Schwarzkopf=NEU",
95340,【毛发栩栩如生！Nvidia“海飞丝”Hairworks技术宣传】显卡巨头Nvidia近日放出了一段有关其研发的Hairworks技术之最新宣传，向我们展示了藉由Hairworks所实现的高逼真3D模型动态毛发效果。http://pla… http://t.cn/RvTU3im,N,,
296634,【mascara洗护发神器】我想大部分人都用过飘柔，欧莱雅等，感受如何自己应该很清楚吧！MASCARA护发神器💝它的神奇之处就是不像普通洗发水那样，刚洗好的时候滑的不行，睡一晚上起来又成鸟窝头😱它是在活性炭的控油基础上，却不让你感觉到干燥 既锁水又能修复你的损伤发质微信PPSgogo,Y,"Rejoice=Ambiguous
 L’Oreal=Ambiguous",AD
402817,洗头膏没有了老妈准备去买问我“你觉得巴黎欧莱雅好还是潘婷好”“巴黎吧”“嗯好”后来买回家一看居然是潘婷“你都决定了买潘婷还问我干嘛！”“哦我就是看看我们有没有默契”[拜拜] 哦是这样啊,Y,"L’Oreal=NEU
 Pantene=NEU",
398274,昨天看太平轮之前放预告片 看到了某片你懂的 旁边的一个男的看了之后指着说那不是潘婷么[doge]少侠你告诉我潘婷不是洗发水吗😂 我真的不是黑[拜拜],N,,
385857,接上条哦  超市的潘婷飘柔海飞丝沙宣欧莱雅等等洗发水都不能用 里面还有大量硅看上去头发柔顺了长期用会掉发厉害 平价的还推荐施华蔻 4.kiss me heavyrotation旋转眼线笔棕色 不用削不易断 第二只了 5.最后推荐口红 ysl迷魅水亮14号唇膏  涂上气色变超好最好搭配唇刷哦 （以上  懒人就不po图啦）,Y,"Pantene=NEG
 Rejoice=NEG
 Head & shoulders=NEG
 Vidal Sassoon=NEG
 L’Oreal=NEG",AD
170188,【优钻】接下来的半小时，我要去洗头啦~用什么呢，当然是优钻咯！飘柔海飞丝什么的早就不能用了好咩！1.2.3耶，发必顺~（这段时间虽然我不能出门要在家静养，头发也要一起养起来~）我家熊为优钻代言啊哈哈,Y,"Rejoice=NEG
 Head & shoulders=NEG",AD
43931,去屑排挡，就信清扬，很卡哇伊有木有,Y,Clear=NEU,SAR
161484,大过年的~！海飞丝的洗发水洗的我很忧伤~！！[泪][泪][泪]都什么玩意啊~！洗完还是粘达达的~不科学啊~！！,Y,Head & shoulders=NEG,
17522,清扬也可以那么自信[哈哈][哈哈]//@巴伐利亚王储要舒米快点好起来:胖纸哭啦//@静静的忆_: 大概第一次看到头发这么贴服的让哥=。=//@巴娜娜Debby一拳KO朱小姐:我靠 清扬你去死吧 猪油涂头发上 滚啊 //@Ray_Klash_三色杯:这他妈是什么！！！,Y,Clear=NEU,SAR
247476,巴黎欧莱雅的洗发水绝对绝对有问题，鉴定完毕。,Y,L’Oreal=NEG,
46779,[泪]头发的味道好难闻啊       清扬洗发水的味道加猪屎的问到加一点点香水的味道       本来香水是想去味的      没想到味道更重了[晕][泪][伤心],Y,Clear=NEG,
1262,[吃惊]好久了 又一次闻到一样的味道 清扬女士[可怜][可怜][可怜],N,,
59096,定位不是花拳绣腿，必须兑现定位承诺（安全的汽车、去屑的海飞丝），否则顾客会觉察到任何与定位不一致的地方，产生不信任感，包括语言和行为。,Y,Head & shoulders=NEG,
101652,刚在宿舍洗澡，换了瓶洗发水，大概是海飞丝的什么清爽提神型，一开始还纳闷怎么提神，一用发现整个头皮都凉了…@铜铃二想 要试试么？简直媲美“XX凉”,Y,Head & shoulders=NEU,
267483,请来了个在法国巴黎待了八年的大模来给我们讲课，一个小时说了无数次欧莱雅啊，啥啥啊，啥啥啥啊。然后就不知道她在说什么了。所以目前我就只知道她曾经代言过欧莱雅。顺便问一句欧莱雅是搞什么的？洗发水？,Y,L’Oreal=NEU,AD
56241,看见草莓上的籽，想起了你@云雷真姓云 昨晚从容潇洒的梳理油光瓦亮的头皮屑，两块钱的海飞丝都洗不掉。也是ju了。,Y,Head & shoulders=NEG,
255103,【曝光！欧莱雅、清扬、多芬等“缺斤短两”上黑榜！】广州市质监局抽查，查出多个实际含量与标注含量不符的洗化品牌，涉及清扬、多芬洗发用品及多芬沐浴露等联合利华旗下16个批次的不同类型产品。宝洁、欧莱雅、屈臣氏等大品牌也都榜上有名。你家的沐浴露洗发水“够称”么？央视财经,Y,L’Oreal=NEG,AD
216934,用了海飞丝觉得头巨痒！但是抓痒的感觉好爽！使劲挠！,Y,Head & shoulders=Ambiguous,
274904,@范冰冰：每天拆掉头套头后，就变成白发魔女变身前！我的头发谁来救？///→_→ @搬板凳晒太阳: 你天天“巴黎欧莱雅，五大受损，一个对策”你还问我？,Y,L’Oreal=Ambiguous,
73455,#假冒洗发水#很明显，山寨了海飞丝,Y,Head & shoulders=NEU,AD
65830,牛来了！！鉴于他对霜的表现，做他的时候怨念很深啊，用什么海飞丝！！头发飘逸成酱紫spa造么！！想想他不梳头的时候啊！！@无礼-称在下目大温,N,,SAR
229190,#海飞丝NBA实力季后赛# 我觉得会在热火和马刺之间。,N,,
251129,最新包装！！发膜好不好，用了就知道欧莱雅神奇发膜用了你就会爱上它，无论你头发是干枯 无光泽 分叉 易断 打结 不柔弱或是重度损伤都能让它瞬间柔韧，一次见效。长期使用定能让您见证修复还原奇迹！让9级受损发，重现生机，轻松染烫。 http://t.cn/RzC1UmH,Y,L’Oreal=POS,AD
260312,说说个人体会，拿到货瓶子就很香。很想吃下去的感觉。膏体比较柔软，容易均匀涂抹。主要袋鼠品牌的香味的确红遍全球的，只要3分钟就可以看到效果，用后发质绝对是质的改善，绝对完胜什么欧莱雅和施华蔻这些早在国内做烂的品牌。 http://t.cn/RPVZeVF,Y,"L’Oreal=NEG
 Schwarzkopf=NEG",AD
142097,日本花王旗下的#亚羡姿#。[good]香氛很好闻 🌺 ，用半个月发尾开叉 💎 还有毛躁都有明显改善〜绝对是价廉物美的好东西。洗发水可以不再是沙宣，海飞丝，多芬，力士啦~~试试这个吧 😄 😄,Y,"Vidal Sassoon=NEU
 Head & shoulders=NEU",AD
223241,小时候的你我，很了解分开是什么，很明白自己每天需要做的事，所以也不觉得孤单，每天还活得挺开心，就连下楼去荡一次秋千都觉得是美好。@-用海飞丝的蝙蝠侠,N,,
