Post#,Post,Relevance,Sentiment,AD?
268617,#一瓶一罐四月晒盒子#好多宝贝啊，一个盒子还装不下呢！@一瓶一罐 @洗颜专科官方微博 真的好足喔，还不小心选了两个一样的。@巴黎欧莱雅 的精油真的很好用，洗发，乾发都能用，用完油亮亮的也不打结，选的是五样送来确实七八样，太超值了！,Y,POS,
363290,#欧莱雅炫发大赛#女神代言的护发产品你真的不买吗？,Y,NEU,
539982,特反感那些在炫富的人。本尊的牙膏用的是高露洁，洗发水是飘柔，手机是诺基亚，哪样不是名牌[懒得理你]？每天坐着几百万的公交车上班，并和五百强企业，建设银行，农业银行，中移动，中石油，国家电网，沃尔玛等保持长期稳定的合作关系。你有见我炫耀吗？,Y,NEU,SARCASTIC
650650,施华蔻 羊绒脂深层修护滋养套装（600洗发+600润发+150营养水） 119.05元 阅读促销详情：http://t.cn/RzxftXY (直达购买链接点击：http://t.cn/RzxftXH )来自：@360值得买,Y,AMBIGUOUS,
644417,姐下班，准备去买点夏装。现在已经沦落到一进店，就问小妹“啥衣服显瘦啊？”节操碎一地[抓狂]脂肪赋予胖子的悲哀，就如同飘柔长发给予秃头的刺激[抓狂],N,,
755045,#乱七八糟# # 国内淘 # 京东洗护低至5折，还有沙宣、潘婷等各大品牌满199-80 http://t.cn/Rv9Sxu0,Y,AMBIGUOUS,
69900,一位童鞋上传的《夜空中最亮的星》 →http://t.cn/Rh4gV89，好像调不太对~~但歌里的浪漫灰常对~其实，唱的好坏不是价值的体现，想唱敢唱才是。真正有自信有实力的人，没有掌声一样可以热血沸腾，为什么？只因为想唱！你呢，想一起吗？来 #海飞丝实力高八度舞台# http://t.cn/RPdcWIs，用力去唱！,N,,
177808,好幸运！我刚刚在#丝源会#中抽到了发肌专家咨询，可以拿积分制作更多的花盆、兑换更多优惠劵和奖品咯！@海飞丝丝源复活 http://t.cn/8kkBmhN,N,,
393178,虽然坚持黑长直就是好的，一直好好保养这一头不长不短的头发，但还是买来染发剂准备自己在宿舍里弄着玩（欧莱雅的栗黑）。没想到沾到额头一角，擦也擦不掉。（没错，就是满头黑线状）求带饭……,Y,AMBIGUOUS,
425766,超市的洗发水不能再用啦！ 凡是在使用潘婷，海飞丝，沙宣之类的洗发水 的，你的头发一定比以前要少而且头发掉得很 多！每次洗头发的时候，你都会有心痛的感 我在:http://t.cn/8sfMPH3,Y,"Pantene=NEG
 Head&shoulders=NEG
 Vidal Sassoon=NEG",
518018,官方：用飘柔不仅仅是自信[酷]#TF少年GO！第二季#,Y,NEU,official adv. Quato
9841,🍀 (6/15 21:52)来自@草莓点一点 清扬 男士去屑洗发乳 活力运动型 400ml*3加赠100ml*3 89元 http://t.cn/RvC9fDL,Y,NEU,advertisement
337786,好东西hold不住了#欧莱雅护发土豪金#,Y,POS,
500755,@听歌听心情 @pantene-潘婷 @你又不是我-Ben  @请叫我_丹丹小姐 今日节目丰富，一早去行街@乂淸 就买佐甘多野俾恩恩，多谢晒[嘻嘻][嘻嘻]中午大欣又来陪恩恩玩，开心到距两个。。手拉手行东汇城[偷笑][偷笑]，总之今日行足一日咖街大细都开心。 我在:http://t.cn/zTOUdeY,N,,
300598,#非凡心愿从“头”期许#现在这个巴黎欧莱雅多少钱，希望它可以让我的秀发，不再乱,Y,NEU,
621514,#飘柔·柔美生活##秀出来，勇敢爱#@大米饭圣 http://t.cn/8k4ERTj 我在:http://t.cn/8k4ERT3,N,,
739338,#我在搜狐视频上传#《沙宣托尼盖艾伦经典发型》：http://t.cn/RhXdfTI（分享来自于：@搜狐视频空间）http://t.cn/RhXdfTI,N,,
294864,在“北京抢抢族（免费赠品）”部落发表了新帖【欧莱雅护发金油申请 ，人人有份，邮寄到家】:http://t.cn/8F3ZLkx欧莱雅奇焕精油试用装5MLx3份&nbsp;18-34的女性需要做一条微博转发城市不限问卷中的姓名、电话、地址、邮编务必正确需要新注册一... http://t.cn/8F3ZLkJ,Y,AMBIGUOUS,
223005,追着看了几集《中国梦之声》，感觉很奇葩：@黄晓明 与@韩红 真没品位，有些对不起导师这一职位。与@海飞丝中国达人秀 节目差远啦！[弱],N,,
574783,【飘柔，就是这样自信！】深夜布什看到拉登站立在自己床前，批头散发，布什大惊说：你好大胆，敢夜闯白宫！ 拉登甩了甩齐胸的胡子，阴森地笑了，说：飘柔，就是这样自信！[蛋糕],Y,NEU,Sarcastic
225661,忽然意识到一个严重的问题啊，季后赛第一轮的时候，海飞丝最实力球星给了格里芬，然后船儿就被淘汰了，接着又给了约什-史密斯，然后老鹰就被淘汰了，后来又给了我萌，最后我勇就被老马送回家了。你妹的海飞丝，故意的吧你[抓狂][哼]#海飞丝魔咒#,N,,
425442,【视频【梁吉娜】日常头发、皮肤使用产品分享—在线播放—优酷网，视频高清在线观看】【梁吉娜】日常头发、皮肤使用产品分享 理肤泉安洁洗面奶 玳梦菲嫩肤水 玳梦菲水润精华霜 潘婷颜色保护三大卷洗发水和护发素... http://t.cn/8sVfWCC （分享自 @优酷网）,Y,NEU,
76811,「MASCARA」☞玛思卡华洗发套装☜如果親們还在用海飞丝，飘柔，没用过玛斯卡华 ..那我只能說你out了！️硅油 許多親問我這個洗发水真的那麽好嗎？也不如你自己親身试用一下！用一次就会爱上它……v信：madi0722 http://t.cn/RPiAQ05,Y,"Head&shoulders=NEG
 Rejoice=NEG",
114173,上一条微博没有一一答谢给我评论的朋友，特此感谢大家配合我的工作！因此也跟大家分享下统计结果。海飞丝毫无悬念，总榜男榜女榜三冠，伊卡璐夏士莲无限flop; 男榜中，海飞丝清扬坐稳一二，飘柔第三出乎我意料；女榜呈现纷争态势，三家并列第三；整体情况如大家所说，宝洁占优。谁来解释下飘柔？,Y,AMBIGUOUS,
48215,@Clear清扬 亲，难道你们不觉得包装很不实用吗？作为用户，深表痛苦，用到三分之一时就开始担心剩下的怎么挤出来。真心建议改下包装形状。,Y,NEG,
737677,[月亮]护发套再次反馈🎀用后不脱发，柔顺有光泽了，什么沙宣海飞丝弱爆了👎👎#微信号L645666335# http://t.cn/RhBiQ5V,Y,"Vidal Sassoon=NEG
 Head&shoulders=NEG",
660278,🍀 (9/4 07:36)来自@爱你涵宝0811 施华蔻 恒时珍粹套装 洗+护+精华乳+发膜 199元 http://t.cn/RhUHtas,Y,NEU,advertisement
637245,深夜，布什看到拉登站在自己床前，披头散发，布什大惊说:你好大胆，敢夜闯白宫。拉登甩了甩齐胸的胡子，阴险笑着说:飘柔就是这么自信,Y,NEU,SARCASTIC
43696,清扬去屑，无懈可击！[嘻嘻] 我在:http://t.cn/zR2KcdO,Y,NEU,SARCASTIC
600972,飘柔，就是这么自信[偷笑][酷]之——我爱整人。,Y,NEU,SARCASTIC
645938,对老婆的思念如同布满天空的云朵，把我的心填得满满的；又像窗外飘着的春雨，轻盈飘柔绵绵不断，滋润心田——谢先生的即兴浪漫小诗,N,,
38562,对于【高清回顾恒大巅峰一战】我有最独到见地。@周静儒敏花郁铭 @怡南孟佳君萍 @韩竹Angel 都给捧个场，为我的#清扬冠军见地#转发喝彩！你也有最神的评论？来@Clear清扬 亮出来瞧瞧：  http://t.cn/8DD1FkX,N,,
788803,我试用了沙宣修护水养洗发露，我觉得：收到货了，速度啊，平时自己也用过沙宣，喜欢这个品牌 。。 http://t.cn/zH6XSmq  （分享自 @喜试网）,Y,POS,
788445,沙宣GE方圆三角形理论 最新沙宣美发技术详解 最新沙宣理发 分区层次剪发 商业美发发型 波波头技巧 时尚美发 经典剪发造型 沙… http://t.cn/zHaIUid  （分享自 @56网）,N,,
652445,双十一还是能淘到不少好货的，各种大减价的节奏~ 这时候买生活用品再合适不过了[呵呵]施华蔻两罐发膜在待发货的状态下被我退款了，却还是收到了[呵呵]是知道我一直在旗舰店买然后送我的吗[呵呵] 女生是不是都这样，收到快递会莫名心情很好[呵呵] 雪肌精第一次用，送了好多小样好开心[呵呵],Y,AMBIGUOUS,
737630,EG谢红宇沙宣技术培训-1 沙宣视频 美发教材 沙宣教材 美发光盘 剪发视频 http://t.cn/RhrYj3A,N,,
632543,#飘柔·柔美情缘#第一次见一个人，伴有小鹿乱撞的心跳，就叫一见钟情。,N,,
284854,#我的欧莱雅秀发非凡时刻#@落落千秋万花开 我的懒美人必备武器是欧莱雅奇焕润发精油，因为每次出门前都会抹一点在头发上，一分钟都不要，我的头发就可以顺滑又平整，没有毛躁，无论是出去开会还是和姐妹们约会，都不用担心头发带来的困扰,Y,POS,
155112,好幸运！我刚刚在#丝源会#中抽到了丝源音乐盒，可以拿积分制作更多的花盆、兑换更多优惠劵和奖品咯！@海飞丝丝源复活 http://t.cn/8FKhOxD,N,,
713603,发廊再用施华蔻，微娜…完成拜访表…考虑用研多娜… 我在:http://t.cn/zRiFI3L,Y,AMBIGUOUS,
210174,#海飞丝NBA实力宝贝#最美最有激情的实力宝贝，果断给她投票！希望在NBA 中国赛上可以见到她的身影！你们都支持哪位宝贝？ http://t.cn/zR6sLOk,N,,
300608,#非凡心愿从“头”期许#巴黎欧莱雅，可以让头发不再变白吗？,Y,NEU,
531760,现招泉港、安溪、惠安百汇促销员各一名，促销飘柔洗发水，工作时间2点到十点，10月13号开始上班，需要连续上8天，有意者电话联系：15159829272,N,,
413598,『潘婷俄罗斯励志广告，成功就在你面前，只要你不顾一切的努力』http://t.cn/RvKACkN,Y,NEU,official adv. Quato
117300,老婆，给你商量个事好么？下次把你的洁尔荫放得离我的海飞丝远一点....... ,Y,NEU,SARCASTIC
747593,转闲置啊：我老公单位发的（放心我搞不来假的真搞也不会就这几瓶）就是我不用这牌子啊，所以放家里没用，谁需要就收了吧。沙宣一套100，水之蜜语一套3⃣️瓶是150，就不单卖了哈，有要的告诉我给你链接拍去。我也不经常转闲置，有啥没说到的再告诉我[偷乐],y,NEU,advertisement
281173,#我的欧莱雅秀发非凡时刻# @时尚主播linda @张亮Sean @李艾 我想拥有和她一样的头发,N,,
670980,有顾客问我，这个洗护套装【玛思卡华】真有这么好么？我先不说效果多好，我告诉你结果，世界品牌:卡诗，威娜，欧莱雅，资生堂、施华蔻，这些用过的话，直接秒杀这些品牌。你平时用的那些品牌，根本就不是一个档次。我自己也用，请认准正品，配上沐浴露更好哦 http://t.cn/RPhUrM7,Y,"L’Oreal=NEG
 Schwarzkopf=NEG",advertisement
592970,用飘柔就是这么自信。。。。。,Y,NEU,SARCASTIC
484548,"http://t.cn/zlzj94d 【俄罗斯 潘婷广告】(配乐 卡农)这广告就是一个完整感人的故事,再配上卡农这个经典曲目,非常完美！看完之后大受感动！国内的广告和国外的怎么就差那么远？",Y,NEU,official adv. Quato
252408,"#欧莱雅一滴改变等你见证#+@再见基利哥 @勤奋结木雅雅1992 @小帅哥弘大 +冰冰女神不光人漂亮,头发更是又长又柔软,而且非常有光泽,我一直想留一个她那样的长卷发发型,可惜头发不给力啊.",N,,
202441,“洗发推荐”自从我家用了吕的洗发水之后，真心觉得什么海飞丝，沙宣，资生堂都是☁️浮云！棕吕可以防脱发生发滋润头发作用！黑吕都是防脱发，只是药材更加高档一点！当然还有去头屑的蓝吕（转季节的时候，头屑脱落相对严重点！这个会好用点）和深层滋养头发的红吕！目前就差红吕未用过！哈哈！,Y,"Unknown=POS
 Head&shoulders=NEG
 Vidal Sassoon=NEG",
804567,楼主，请问我头发特别干，特别蓬，易分叉，易断，适合用哪一款啊？我现在再在用多芬的水润洗发水和精油护发素，同时配合丝蕴的精油发膜和施华蔻的一款护法精油在用，但是洗完头，头发干了以后还是非常干燥，没有水润的感觉 ，，求指教！,y,neg,
436219,从2008年开始，宝洁探索电子商务就选择阿里巴巴作为战略合作伙伴，包括SK-II、玉兰油、潘婷、海飞丝、帮宝适等宝洁旗下日化用品均已进驻天猫。阿里巴巴集团首席运营官张勇表示，我们希望为消费[嘻嘻]者提供更多的品牌选择，并帮助商家进行互动。,Y,NEU,advertisement
726540,去广州参加施华蔻发布会、去广州路途中了,N,,
578139,夏日清凉雪纺 130美元Club Monaco仙美蜜桃口袋小衫~好仙的飘柔雪纺小衫，两个开口袋，造型乖巧~柔美到不行的浅嫩蜜桃色~萝莉风格垂挂造型，夏日清凉百搭。http://t.cn/RvgAFc0,N,,
575511,没错，这就是飘柔 http://t.cn/RPZJdxI,?,,
284067,#我的欧莱雅秀发非凡时刻# 我喜欢欧莱雅奇焕润发精油，就像我喜欢小狗狗，因为他们都一样，是我最忠实的伙伴。,Y,POS,
583407,飘柔，就是这么自信[啦啦啦啦][啦啦啦啦] cr:logo,Y,NEU,SARCASTIC
83653,#当青春遇上节操#你简直就是节操姐，你就是叶诗诗，节操满满的站在制高点上。 @我的青春高八度 @海飞丝实力派 http://t.cn/RPqSE9D?_rnd=6711,N,,
88443,"我参与了@海飞丝实力派 发起的投票【#够实力 高八度#选出你心目中的人气之星！】，我投给了""徐倩-毕夏""这个选项。你也快来表态吧：http://t.cn/Rvr05G6 ",N,,
122571,老婆，给你商量个事好么？下次把你的洁尔荫放得离[心]我的海飞丝远一点.......,Y,NEU,SARCASTIC
179338,2014年1月1号，你要我受罪，你明知道我闻到海飞丝就不舒服，我现在怀紧BB闻到海飞丝味，我就想吐，我今日吐到胃水和泪水都出来。你甘样对我，你现在开心啦！,Y,NEG,
418908,【视频潘婷剧场-高清视频在线观看-爱奇艺】潘婷剧场-高清视频在线观看-爱奇艺  http://t.cn/8s6aoTS（分享自 @爱奇艺）,Y,NEU,official adv. Quato
24973,对于【加索尔首节集锦】我有最独到见地。@张庆芳桂绍 @谢景青郁啟 @詹筠季昱俊 都给捧个场，为我的#清扬冠军见地#转发喝彩！你也有最神的评论？来@Clear清扬 亮出来瞧瞧：  http://t.cn/8FwGSKj,N,,
697698,仅138元享原价699元施华蔻单项美发套餐，冷烫-热烫-顺直-染发-深层修复5选1，第二个半价哟，预约电话18623642246小艺，地址：杨家坪西城天街B栋0816 南坪万达广场时尚楼商务公寓4栋1007.营业时间上午九点到晚上九点。,N,,
416266,@和尚用潘婷 您好！来自【微问】的网友向您请教手机使用方面的问题：“金立天鉴系列gn868如何整理内存”『分享知识和经验来帮助TA，请点击 http://t.cn/RvfCQ5k 』回答还能攒积分换礼品，iPad在向你招手！不愿收到求助信息请点击http://t.cn/8F4Ku5U,N,,
619151,"飘柔,就是这么自信!@瞬间乐翻你 投稿",Y,NEU,SARCASTIC
655697,📢 🇩🇪 现货：雪本詩面膜，芭乐雅护肤品，施巴产品，Signal儿童1-6歲牙膏，月见草油胶囊，美宝莲润唇膏，施華蔻洗髮水，考夫曼baby creme，赫本清手霜。💨💨產品價格等會一一單獨介紹 💁💁無需國際等待～只需國內郵費！！順德大良可直接面交～👯👯,Y,NEU,advertisement
169416,好幸运！我刚刚在#丝源会#中抽到了发肌专家咨询，可以拿积分制作更多的花盆、兑换更多优惠劵和奖品咯！@海飞丝丝源复活 http://t.cn/8FU520d,N,,
761105,完美芦荟胶30元。750ML沙宣护发素有1.修护水养2.垂坠质感。750ML沙宣洗发露，现有 1.垂坠质感2.清盈顺柔 3.修护水养 4.水润去屑 售价55元。有效期都是到2016年8月，晚上送货上门，私信短号宿舍楼号及所需物品@培正CHANGE柱,Y,NEU,advertisement
278869,#我的欧莱雅秀发非凡时刻#我刚参加了一个免费产品的试用活动，一款神奇的护发产品-欧莱雅奇焕润发精油。快来一起和我加入吧，申请链接： http://t.cn/8sMOWyP,Y,POS,
389430,巴黎欧莱雅 美丝露皂角护发倒膜 去屑养发免蒸发膜/焗油膏 #越转越便宜#每转发1次降价0.01元，最低到28元。价格掌握在你手中，快快转发给你的朋友们吧！... http://t.cn/zQMJnZ8,N,,
594593,超市大姐创意无限，顺道问一下什么时候飘柔9块9变成最便宜的洗发露啦,Y,NEU,
126384,好幸运！我刚刚在#丝源会#中抽到了丝源音乐盒，可以拿积分制作更多的花盆、兑换更多优惠劵和奖品咯！@海飞丝丝源复活 http://t.cn/8sxOygm,N,,
645723,就算用飘柔也自信不起来了[泪],Y,NEU,SARCASTIC
497345,#我想我是海#拉片进行中，《泰国潘婷广告》@拉片室,Y,AMBIGUOUS,
255878,欧莱雅专家洗护系列致臻修护洗发水/护发素http://t.cn/R7pb99Z，新店开张，优惠多多哦,y,neu,advertisement
637429,用了飘柔，全身就是这么自信！ 好销魂！,Y,NEU,SARCASTIC
36377,对于【高清回顾恒大巅峰一战】我有最独到见地。@意卿佳德佳冰 @陈冰宜祥梦佳婷 @周仁瑞阿峰 都给捧个场，为我的#清扬冠军见地#转发喝彩！你也有最神的评论？来@Clear清扬 亮出来瞧瞧：  http://t.cn/8k2l7F5,N,,
490077,潘潘婷大学酒好嗨森[嘻嘻][哈哈]都是美铝好不好[害羞][可爱]我爱美铝[馋嘴][花心],N,,
583444,特反感那些在炫富的人。本尊的牙膏用的是高露洁，洗发水是飘柔，手机是诺基亚，哪样不是名牌？每天坐着几百万的公交车上班，并和五百强企业，建设银行，农业银行，中移动，中石油，国家电网，沃尔玛等保持长期稳定的合作关系。你有见我炫耀吗？[哈哈]（转）,Y,NEU,SARCASTIC
460952,#沃尔玛购物广场佛山嘉信茂桂城店（凯德广场）+发现新潘婷#爆水精华！真的非常爆！有买有送之余，还有试用装体验！只需简单一条微博即可获得试用装！小伙伴们别惊呆了，都快来参加吧@潘婷Pantene  @宝洁组  @chihrisei  @思Sarah  @亿休,Y,NEU,
718118,教师节特惠[心][心]：9.6-9.12日，直营店欧莱雅、美宝莲、欧珀莱、玉兰油满99立减25[兔子][兔子]；倩语部分6.8折[熊猫]；ZA、汉妆新珍珠白、施华蔻7.5折[花心][花心],Y,NEU,advertisement
21479,对于【詹皇招聘战斧暴扣】我有最独到见地。@卢辛白伦霞 @建君柏士93 @张诗良育白 都给捧个场，为我的#清扬冠军见地#转发喝彩！你也有最神的评论？来@Clear清扬 亮出来瞧瞧：  http://t.cn/8FMS6BU,N,,
264131,#欧莱雅郡 生活百科#【漂白剂有很强的腐蚀性】会释放出具有刺激性的有毒气体，过度接触可能对肺部和头发造成损伤。 替代方案：对于一些难以洗净的污点，可以用柠檬反复擦拭。http://t.cn/zjqt0Hy,N,,
181266,好幸运！我刚刚在#丝源会#中抽到了发肌专家咨询，可以拿积分制作更多的花盆、兑换更多优惠劵和奖品咯！@海飞丝丝源复活 http://t.cn/8kuv6Hf,N,,
